Clark Y                                         
 Alfa =   7.74413 Re =    35678.598 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   0.11256  0.06650 -1.47804
   0.10845  0.06524 -1.48287
   0.10437  0.06394 -1.48895
   0.10032  0.06261 -1.49266
   0.09631  0.06125 -1.49559
   0.09233  0.05985 -1.49567
   0.08839  0.05843 -1.50176
   0.08450  0.05699 -1.49908
   0.08066  0.05551 -1.49992
   0.07688  0.05402 -1.50330
   0.07316  0.05251 -1.50582
   0.06951  0.05098 -1.50464
   0.06594  0.04945 -1.50876
   0.06245  0.04791 -1.50740
   0.05906  0.04637 -1.51242
   0.05578  0.04484 -1.51697
   0.05260  0.04332 -1.52184
   0.04955  0.04182 -1.52222
   0.04661  0.04035 -1.53193
   0.04381  0.03890 -1.53765
   0.04114  0.03749 -1.54553
   0.03861  0.03612 -1.55381
   0.03620  0.03478 -1.56300
   0.03393  0.03349 -1.57700
   0.03178  0.03224 -1.58555
   0.02976  0.03104 -1.59641
   0.02785  0.02987 -1.61057
   0.02605  0.02875 -1.62773
   0.02436  0.02766 -1.63668
   0.02276  0.02661 -1.65798
   0.02126  0.02560 -1.66729
   0.01984  0.02463 -1.68714
   0.01851  0.02368 -1.70358
   0.01724  0.02276 -1.71556
   0.01605  0.02188 -1.73606
   0.01493  0.02101 -1.74717
   0.01386  0.02017 -1.76416
   0.01286  0.01936 -1.77849
   0.01190  0.01856 -1.78908
   0.01100  0.01779 -1.81024
   0.01015  0.01703 -1.82401
   0.00934  0.01629 -1.83712
   0.00857  0.01557 -1.86048
   0.00784  0.01485 -1.87060
   0.00715  0.01414 -1.87486
   0.00649  0.01344 -1.88250
   0.00587  0.01275 -1.88646
   0.00528  0.01206 -1.86796
   0.00473  0.01137 -1.88355
   0.00421  0.01070 -1.86924
   0.00373  0.01003 -1.86444
   0.00328  0.00938 -1.82385
   0.00287  0.00873 -1.81406
   0.00248  0.00810 -1.75889
   0.00213  0.00748 -1.73317
   0.00181  0.00687 -1.71156
   0.00152  0.00627 -1.66921
   0.00125  0.00567 -1.61536
   0.00101  0.00509 -1.57211
   0.00080  0.00451 -1.48921
   0.00061  0.00394 -1.42866
   0.00045  0.00338 -1.32825
   0.00031  0.00282 -1.21434
   0.00020  0.00226 -1.15727
   0.00011  0.00171 -1.02398
   0.00005  0.00116 -0.89608
   0.00001  0.00062 -0.81980
  -0.00000  0.00007 -0.63511
   0.00001 -0.00048 -0.54915
   0.00005 -0.00102 -0.40345
   0.00012 -0.00157 -0.28520
   0.00020 -0.00212 -0.13137
   0.00032 -0.00267 -0.04493
   0.00045 -0.00323  0.11217
   0.00062 -0.00379  0.19803
   0.00080 -0.00435  0.35139
   0.00101 -0.00492  0.42771
   0.00125 -0.00549  0.50081
   0.00152 -0.00606  0.57335
   0.00181 -0.00664  0.65839
   0.00213 -0.00722  0.74463
   0.00248 -0.00781  0.78403
   0.00285 -0.00840  0.85253
   0.00326 -0.00900  0.89352
   0.00371 -0.00959  0.91732
   0.00418 -0.01019  0.95277
   0.00469 -0.01079  0.98496
   0.00523 -0.01138  0.99837
   0.00581 -0.01196  1.01248
   0.00642 -0.01253  1.01739
   0.00707 -0.01310  1.02661
   0.00775 -0.01366  1.02680
   0.00846 -0.01421  1.02065
   0.00922 -0.01475  1.01626
   0.01000 -0.01529  1.01037
   0.01083 -0.01583  1.00202
   0.01169 -0.01636  0.98567
   0.01260 -0.01690  0.97847
   0.01354 -0.01743  0.95629
   0.01454 -0.01795  0.92991
   0.01558 -0.01848  0.90336
   0.01667 -0.01900  0.89401
   0.01782 -0.01951  0.86544
   0.01902 -0.02002  0.85213
   0.02028 -0.02052  0.82589
   0.02160 -0.02102  0.80989
   0.02299 -0.02151  0.77512
   0.02445 -0.02200  0.75675
   0.02598 -0.02248  0.72954
   0.02759 -0.02296  0.70771
   0.02929 -0.02343  0.69017
   0.03108 -0.02390  0.66733
   0.03296 -0.02435  0.64919
   0.03494 -0.02480  0.62401
   0.03702 -0.02523  0.60135
   0.03922 -0.02566  0.58298
   0.04154 -0.02607  0.56655
   0.04399 -0.02647  0.54088
   0.04656 -0.02686  0.52459
   0.04927 -0.02723  0.51267
   0.05212 -0.02758  0.49225
   0.05511 -0.02791  0.48112
   0.05825 -0.02822  0.46080
   0.06154 -0.02851  0.45371
   0.06497 -0.02878  0.43848
   0.06855 -0.02902  0.42620
   0.07227 -0.02923  0.41496
   0.07613 -0.02942  0.40523
   0.08011 -0.02959  0.39655
   0.08423 -0.02972  0.38650
   0.08846 -0.02984  0.38172
   0.09280 -0.02993  0.37324
   0.09723 -0.02999  0.36448
   0.10176 -0.03003  0.35972
   0.10638 -0.03006  0.35293
   0.11107 -0.03006  0.35043
   0.11583 -0.03005  0.34369
   0.12065 -0.03002  0.34045
   0.12552 -0.02997  0.33576
   0.13044 -0.02991  0.33200
   0.13541 -0.02984  0.32878
   0.14041 -0.02976  0.32459
   0.14545 -0.02967  0.32039
   0.15052 -0.02958  0.31957
   0.15562 -0.02948  0.31481
   0.16074 -0.02937  0.31126
   0.16588 -0.02925  0.30792
   0.17103 -0.02914  0.30687
   0.17621 -0.02902  0.30332
   0.18139 -0.02889  0.30008
   0.18659 -0.02877  0.29732
   0.19179 -0.02864  0.29339
   0.19701 -0.02851  0.29157
   0.20223 -0.02838  0.28704
   0.20746 -0.02826  0.28589
   0.21269 -0.02813  0.28033
   0.21793 -0.02800  0.28078
   0.22316 -0.02786  0.27552
   0.22840 -0.02773  0.27370
   0.23364 -0.02760  0.27038
   0.23888 -0.02747  0.26747
   0.24413 -0.02734  0.26387
   0.24937 -0.02721  0.26035
   0.25461 -0.02708  0.25896
   0.25985 -0.02695  0.25537
   0.26508 -0.02682  0.25208
   0.27032 -0.02668  0.24871
   0.27555 -0.02655  0.24628
   0.28079 -0.02642  0.24308
   0.28602 -0.02628  0.24042
   0.29125 -0.02615  0.23753
   0.29647 -0.02601  0.23389
   0.30170 -0.02588  0.23159
   0.30692 -0.02574  0.22927
   0.31214 -0.02560  0.22562
   0.31736 -0.02546  0.22444
   0.32258 -0.02531  0.21975
   0.32779 -0.02517  0.21771
   0.33300 -0.02502  0.21410
   0.33821 -0.02488  0.21347
   0.34342 -0.02473  0.21003
   0.34863 -0.02457  0.20745
   0.35384 -0.02442  0.20447
   0.35904 -0.02426  0.20207
   0.36425 -0.02410  0.20010
   0.36945 -0.02394  0.19685
   0.37465 -0.02378  0.19588
   0.37986 -0.02361  0.19263
   0.38506 -0.02344  0.19003
   0.39026 -0.02327  0.18915
   0.39546 -0.02310  0.18689
   0.40066 -0.02292  0.18400
   0.40586 -0.02274  0.18277
   0.41106 -0.02256  0.17987
   0.41626 -0.02238  0.17896
   0.42146 -0.02219  0.17630
   0.42666 -0.02200  0.17483
   0.43187 -0.02181  0.17352
   0.43707 -0.02162  0.17165
   0.44227 -0.02142  0.16944
   0.44748 -0.02122  0.16853
   0.45269 -0.02102  0.16662
   0.45789 -0.02082  0.16575
   0.46310 -0.02061  0.16360
   0.46831 -0.02041  0.16235
   0.47352 -0.02020  0.16059
   0.47874 -0.01999  0.15913
   0.48395 -0.01978  0.15799
   0.48917 -0.01956  0.15669
   0.49439 -0.01935  0.15488
   0.49961 -0.01913  0.15438
   0.50483 -0.01891  0.15298
   0.51006 -0.01869  0.15170
   0.51528 -0.01847  0.15076
   0.52051 -0.01825  0.14935
   0.52574 -0.01803  0.14818
   0.53097 -0.01780  0.14717
   0.53621 -0.01758  0.14609
   0.54144 -0.01735  0.14467
   0.54668 -0.01713  0.14381
   0.55191 -0.01690  0.14270
   0.55715 -0.01668  0.14159
   0.56239 -0.01645  0.14057
   0.56763 -0.01623  0.13945
   0.57286 -0.01600  0.13843
   0.57810 -0.01578  0.13726
   0.58333 -0.01556  0.13604
   0.58856 -0.01533  0.13539
   0.59379 -0.01511  0.13397
   0.59902 -0.01489  0.13300
   0.60425 -0.01467  0.13193
   0.60948 -0.01445  0.13062
   0.61470 -0.01423  0.12969
   0.61993 -0.01401  0.12832
   0.62515 -0.01380  0.12692
   0.63037 -0.01358  0.12625
   0.63559 -0.01337  0.12466
   0.64081 -0.01316  0.12381
   0.64603 -0.01295  0.12196
   0.65125 -0.01274  0.12093
   0.65647 -0.01253  0.11952
   0.66169 -0.01232  0.11832
   0.66690 -0.01212  0.11673
   0.67212 -0.01192  0.11577
   0.67734 -0.01172  0.11407
   0.68255 -0.01152  0.11253
